AP_High	<color=639502>high
AP_Low	<color=b65100>low
AP_Moderate	<color=d7b137>medium
AP_VeryHigh	<color=245315>very high
AP_VeryLow	<color=8e0a0a>very low
AS_AdjustLeadership	[AS_AdjustLeadershipTmpl]Adjust my power down to match more opponents.
AS_AdjustLeadershipTmpl	<valign=center><font=tahoma_regular_10><color=E9D18C>
AS_Amount	<br><color=FFFFFF><align=center><valign=center><font=tahoma_regular_8>Quantity:
AS_AmountTmpl1	[$] <br><color=d7b137><align=center><valign=center><font=tahoma_bold_10>[?]
AS_AmountTmpl2	[$] <br><color=d7b137><align=center><valign=center><font=tahoma_bold_10>[?]-[?]
AS_Army_Level	Level
AS_ArmyInfoTmpl	<font=tahoma_regular_10><align=left><valign=center><color=E8C571>[$]</color><br=5><font=tahoma_regular_8>[AS_Army_Level]: [$]<br>[$]
AS_ArmyInfoTmpl_friend	<font=tahoma_regular_10><align=left><valign=center><color=E8C571>[?]</color><br=5><font=tahoma_regular_8>[AS_Army_Level]: [$]<br>[$]
AS_AvatarLoading	Loading
AS_AvatarLoadingTmpl	<align=center><valign=center><font=tahoma_regular_8>[TextColor][AS_AvatarLoading]
AS_ButtonTooltip	Select an opponent army to battle
AS_CloseButton	[FormButtonText_9][FormButtonColor][CloseButton]
AS_CountFew	several
AS_CountGroup	party
AS_CountHorde	horde
AS_CountLittle	some
AS_CountMany	many
AS_DoubledExpBattles	<align=center><valign=center><font=tahoma_bold_10><color=8D0102>[AS_DoubledExpBattlesText]: [?]
AS_DoubledExpBattlesText	Battles
AS_DungeonFiendsCountTmpl	<align=center><valign=center><font=tahoma_bold_11>[?]/[?]
AS_DungeonFiendsInviteCompleteText	Team of friends complete!
AS_DungeonFiendsInviteCompleteTmpl	<align=center><valign=center><font=tahoma_bold_10><color=E9D18C>[AS_DungeonFiendsInviteCompleteText]
AS_DungeonFiendsInviteText	Call your friends to your aid!
AS_DungeonFiendsInviteTmpl	<align=center><valign=center><font=tahoma_bold_10><color=E9D18C>[AS_DungeonFiendsInviteText]
AS_DungeonInviteBtnText	Invite
AS_DungeonInviteBtnTmpl	[FormButtonText_9][AS_DungeonInviteBtnText]
AS_Enemy_Mode_Dungeon	Dungeon
AS_Enemy_Mode_Matchmaking	PvP
AS_Enemy_Mode_Monsters	Monsters
AS_Enemy_Tab_Tooltip_0	Here you can participate in fights with monsters to complete quests. 
AS_Enemy_Tab_Tooltip_1	Here you can participate in fights with other players. 
AS_Enemy_Tab_Tooltip_2	Here you can take part in battles against dungeon armies.
AS_FillMyArmy	<color=FCFFC3>Army Management</color>
AS_FindOpponent_PlayersInPvPPool	<color=FFFFFF><align=center><valign=center><font=tahoma_bold_10><color=D6B566>Looking for an opponent: <color=FFFFFF>[?] users
AS_FindOpponent_PlayersInPvPPoolUnknown	less than 5
AS_FindOpponent_StopSeeking	[FormButtonText_9][FormButtonColor]Cancel
AS_FindOpponent_TimeConsumed	<color=FFFFFF><align=center><valign=center><font=tahoma_bold_10><color=D6B566>Elapsed <color=FFFFFF>[?]:[?]
AS_FindOpponent_TimeToFind	<color=FFFFFF><align=center><valign=center><font=tahoma_bold_10><color=D6B566>Average search time: <color=FFFFFF>[?]:[?]
AS_FindOpponent_TimeToFindChecking	<color=FFFFFF><align=center><valign=center><font=tahoma_bold_10><color=D6B566>Average search time: <color=FFFFFF>calculating...
