actor_system_1015686589_name	Lazarus
actor_system_1015686589_sdesc_	Fanatical leader of the Lazarus Cult
actor_system_1021358190_name	Captain Crunch
actor_system_1021358190_sdesc_	Communications Officer of the Eastern Fort
actor_system_1067690028_name	Detective Barton
actor_system_1067690028_sdesc_	A renowned detective in the Royal secret service. He's shrewd and cautious.
actor_system_1073291893_name	Scout Giango
actor_system_1073291893_sdesc_	Experienced Ranger
actor_system_1118673339_name	Speaking Gate
actor_system_1118673339_sdesc_	A real live gate – and one, capable of speech to boot.
actor_system_114182559_name	Inquisitor Embarus
actor_system_114182559_sdesc_	An ambitious and power-hungry inquisitor who has devoted himself to the extermination of vermin.
actor_system_1145863088_name	Saphaor the Priest
actor_system_1145863088_sdesc_	A famous scientist and devoted servant of the gods
actor_system_11596940_name	Elder Sedwich
actor_system_11596940_sdesc_	An elder of the Free Village
actor_system_1176938775_name	Captain Brant
actor_system_1176938775_sdesc_	Notwithstanding his youth, he is an eminently experienced captain, and in charge of all the military operations on Signal Island. 
actor_system_1213185697_name	Druid Grundel
actor_system_1213185697_sdesc_	A Druid, defending his radical beliefs
actor_system_1236795314_name	Lok Toyl
actor_system_1236795314_sdesc_	Retired Superintendent of the Academy Tiltyard
actor_system_1266023584_name	Master Gram
actor_system_1266023584_sdesc_	Experienced instructor of young officers
actor_system_1270076905_name	Ospholdus the Battle Mage
actor_system_1270076905_sdesc_	A Mage of the Order who never completed the full training program. Successfully substituted theory for practice, becoming De Bursac’s second-in-command.
actor_system_1295991083_name	Fatto the Ranger
actor_system_1295991083_sdesc_	An old Ranger who knows every single blade of grass in the forest
actor_system_1308780749_name	Chief Ranger
actor_system_1308780749_sdesc_	The person in charge of the Order’s hunting expedition.
actor_system_1312997245_name	Maximus the Exorcist
actor_system_1312997245_sdesc_	A famous exorcist who'd found glory in many battles of the past
actor_system_1391610618_name	Leader of the King’s Guard.
actor_system_1391610618_sdesc_	The leader of the guard. He trusts the security of the city to no one else.
actor_system_1394179994_name	Bernar Lazo
actor_system_1394179994_sdesc_	A respected resident of this village, worried about the events of late...
actor_system_1395696845_name	Kaidan the Archivist
actor_system_1395696845_sdesc_	Archivist for the Order of Mages’ Library
actor_system_1426377587_name	Digory the Hermit
actor_system_1426377587_sdesc_	Eccentric Hermit
actor_system_1507214851_name	Commander De Bursac
actor_system_1507214851_sdesc_	Commander of the Brave Guards’ squad
actor_system_1507671916_name	Refugee
actor_system_1507671916_sdesc_	Eyewitness of horrible events
actor_system_1530635568_name	Abbot Lawrence
actor_system_1530635568_sdesc_	Pastor and abbot of the future Temple of Light
actor_system_1565328653_name	Tender the Forest Ranger
actor_system_1565328653_sdesc_	A Ranger who lives in the local woods
actor_system_1596619675_name	Secretary Pills
actor_system_1596619675_sdesc_	Secretary of the Mages’ Council
actor_system_1617963997_name	Medar the Alchemist
actor_system_1617963997_sdesc_	A grumpy military Alchemist
actor_system_1624681979_name	Instructor Paincraft
actor_system_1624681979_sdesc_	Instructor at the Knight Academy
actor_system_1651457483_name	Old Witch
actor_system_1651457483_sdesc_	An old, half-blind witch
actor_system_1662908761_name	Master Taron
actor_system_1662908761_sdesc_	A professional Mage with training in commerce who’s also been to a dozen effective management lectures.
actor_system_1710579492_name	Captain Stroke
actor_system_1710579492_sdesc_	A Commander, able to see two steps ahead of the enemy due to his unique battle experience
actor_system_1720051670_name	Haras the Bookworm
actor_system_1720051670_sdesc_	A collector of ancient books
actor_system_1721023796_name	Engineer Meshmer
actor_system_1721023796_sdesc_	Give him a screw and he’ll transform it into a nail, making a profit for himself!
actor_system_1736174187_name	Tong the Conceited
actor_system_1736174187_sdesc_	A merchant and landlord who has seen better days
actor_system_1742682606_name	Torvald Hammerhorn
actor_system_1742682606_sdesc_	An old blacksmith of enormous experience, whose fame and skill are surpassed by none in this whole region.
actor_system_1751806386_name	Elder Stutz
actor_system_1751806386_sdesc_	Village Elder
actor_system_1778373926_name	Lina Frizzle
actor_system_1778373926_sdesc_	A sorceress from the faraway northern island of Ruttespiel.
actor_system_1819299168_name	Keeper Paleopthos
