chat_system_934171548_actor_description	Survus the Archmage Head of the Order of Mages of the Three Islands Kingdom.
chat_system_934171548_snap_0_answer_0	With a shield, not on the shield!
chat_system_934171548_snap_0_answer_1	Golden Legion
chat_system_934171548_snap_0_answer_2	Disturbing News
chat_system_934171548_snap_0_answer_3	Report to the Commander
chat_system_934171548_snap_0_answer_4	Checking the Calculations
chat_system_934171548_snap_0_answer_5	Universal Magic Remover
chat_system_934171548_snap_0_answer_6	The Mystery Darkens
chat_system_934171548_snap_0_answer_7	Deciphering Required
chat_system_934171548_snap_0_question	It’s better not to meddle with the affairs of Mages. Unless you are a Mage yourself.
chat_system_934171548_snap_1_answer_0	end quest dialog
chat_system_934171548_snap_1_question	Hello man!
chat_system_934171548_snap_2_answer_0	begin quest dialog
chat_system_934171548_snap_2_question	Hello man!
chat_system_934171548_snap_3_answer_0	begin quest dialog
chat_system_934171548_snap_3_question	Hello man!
chat_system_934171548_snap_4_answer_0	end quest dialog
chat_system_934171548_snap_4_question	Hello man!
chat_system_934171548_snap_5_answer_0	begin quest dialog
chat_system_934171548_snap_5_question	Hello man!
chat_system_934171548_snap_6_answer_0	end quest dialog
chat_system_934171548_snap_6_question	Hello man!
chat_system_934171548_snap_7_answer_0	begin quest dialog
chat_system_934171548_snap_7_question	Hello man!
chat_system_934171548_snap_8_answer_0	end quest dialog
chat_system_934171548_snap_8_question	Hello man!



