chat_system_473883942_actor_description	Commander Tarcus Commander of the Order’s Expeditionary Force
chat_system_473883942_snap_0_answer_0	Golden Legion
chat_system_473883942_snap_0_answer_1	Very Important Secret Assignment
chat_system_473883942_snap_0_answer_10	Show Me What You Are Made Of
chat_system_473883942_snap_0_answer_11	Show Me What You Are Made Of
chat_system_473883942_snap_0_answer_12	A Threat to the Manuscripts
chat_system_473883942_snap_0_answer_13	Daring Theft
chat_system_473883942_snap_0_answer_14	Walking Dead
chat_system_473883942_snap_0_answer_15	Walking Dead
chat_system_473883942_snap_0_answer_16	Delayed Reinforcements
chat_system_473883942_snap_0_answer_17	Hero of the Kingdom
chat_system_473883942_snap_0_answer_18	Golden Legion
chat_system_473883942_snap_0_answer_2	Patrol Guard Duty
chat_system_473883942_snap_0_answer_3	Report to the Commander
chat_system_473883942_snap_0_answer_4	Find and Deliver
chat_system_473883942_snap_0_answer_5	Reinforcements are arriving!
chat_system_473883942_snap_0_answer_6	To Turtle Hill
chat_system_473883942_snap_0_answer_7	A Warm Reception
chat_system_473883942_snap_0_answer_8	A Warm Reception
chat_system_473883942_snap_0_answer_9	Special Assignment
chat_system_473883942_snap_0_question	We came here to take back what was ours by right for those hundreds of years. And nobody, you hear me, nobody will stop us from getting back our lands!
chat_system_473883942_snap_1_answer_0	end quest dialog
chat_system_473883942_snap_1_question	Hello man!
chat_system_473883942_snap_10_answer_0	end quest dialog
chat_system_473883942_snap_10_question	end quest text
chat_system_473883942_snap_11_answer_0	end quest dialog
chat_system_473883942_snap_11_question	Hello man!
chat_system_473883942_snap_12_answer_0	begin quest dialog
chat_system_473883942_snap_12_question	Hello man!
chat_system_473883942_snap_13_answer_0	(away)
chat_system_473883942_snap_13_question	Well? Did those greedy thieves learn their lesson? No? Well, then get a move on!
chat_system_473883942_snap_14_answer_0	end quest dialog
chat_system_473883942_snap_14_question	end quest text
chat_system_473883942_snap_15_answer_0	begin quest dialog
chat_system_473883942_snap_15_question	Hello man!
chat_system_473883942_snap_16_answer_0	end quest dialog
chat_system_473883942_snap_16_question	Hello man!
chat_system_473883942_snap_17_answer_0	begin quest dialog
chat_system_473883942_snap_17_question	Hello man!
chat_system_473883942_snap_18_answer_0	(away)
chat_system_473883942_snap_18_question	Zombies only look invulnerable. A few good hits with a sword, and they will be resting for eternity.
chat_system_473883942_snap_19_answer_0	end quest dialog
chat_system_473883942_snap_19_question	end quest text
chat_system_473883942_snap_2_answer_0	begin quest dialog
chat_system_473883942_snap_2_question	Hello man!
chat_system_473883942_snap_20_answer_0	begin quest dialog
chat_system_473883942_snap_20_question	Hello man!
chat_system_473883942_snap_21_answer_0	end quest dialog
chat_system_473883942_snap_21_question	Hello man!
chat_system_473883942_snap_22_answer_0	begin quest dialog
chat_system_473883942_snap_22_question	Hello man!
chat_system_473883942_snap_3_answer_0	end quest dialog
chat_system_473883942_snap_3_question	Hello man!
chat_system_473883942_snap_4_answer_0	begin quest dialog
chat_system_473883942_snap_4_question	Hello man!
chat_system_473883942_snap_5_answer_0	begin quest dialog
chat_system_473883942_snap_5_question	Hello man!
chat_system_473883942_snap_6_answer_0	end quest dialog
chat_system_473883942_snap_6_question	Hello man!
chat_system_473883942_snap_7_answer_0	begin quest dialog
chat_system_473883942_snap_7_question	Hello man!
chat_system_473883942_snap_8_answer_0	end quest dialog
chat_system_473883942_snap_8_question	Hello man!
chat_system_473883942_snap_9_answer_0	(away)
chat_system_473883942_snap_9_question	Well? Did those greedy thieves learn their lesson? No? Well, then get a move on!



