achievement_apvp.popup.caption	New game mode
achievement_apvp.popup.caption_Avocado	Avocado
achievement_apvp.popup.text	Congratulations! Now you can attack other players. I sent you a reward - a few Runes that will help you in battle.
achievement_oapvp.popup.text_Avocado	Avocado
AD_Achievement_Action	Get [?]!
AD_Achievement_Action_Avocado	Avocado
AD_Achievement_Reward	Reward
AD_Achievement_Reward_Avocado	Avocado
AD_Achievement_Text_1	Congratulations! You’ve received some new <font=tahoma_bold_10><color=fcffc3>[$]</font>. Now your army is even stronger.
AD_Achievement_Text_1_Avocado	Avocado
AD_Achievement_Text_100	Archmages
AD_Achievement_Text_100_Avocado	Avocado
AD_Achievement_Text_101	Assassins
AD_Achievement_Text_101_Avocado	Avocado
AD_Achievement_Text_102	Gunners
AD_Achievement_Text_102_Avocado	Avocado
AD_Achievement_Text_103	Demonologists
AD_Achievement_Text_103_Avocado	Avocado
AD_Achievement_Text_104	Dark Griffins
AD_Achievement_Text_104_Avocado	Avocado
AD_Achievement_Text_105	Champions
AD_Achievement_Text_105_Avocado	Avocado
AD_Achievement_Text_106	Inventors
AD_Achievement_Text_106_Avocado	Avocado
AD_Achievement_Text_107	Knights
AD_Achievement_Text_107_Avocado	Avocado
AD_Achievement_Text_108	Necromancers
AD_Achievement_Text_108_Avocado	Avocado
AD_Achievement_Text_109	Paladins
AD_Achievement_Text_109_Avocado	Avocado
AD_Achievement_Text_110	Sea Dogs
AD_Achievement_Text_110_Avocado	Avocado
AD_Achievement_Text_111	Inquisitors
AD_Achievement_Text_111_Avocado	Avocado
AD_Achievement_Text_112	Black Unicorns
AD_Achievement_Text_112_Avocado	Avocado
AD_Achievement_Text_113	Fiery Spiders
AD_Achievement_Text_113_Avocado	Avocado
AD_Achievement_Text_114	Royal Thorn
AD_Achievement_Text_114_Avocado	Avocado
AD_Achievement_Text_115	Ancient Serpents
AD_Achievement_Text_115_Avocado	Avocado
AD_Achievement_Text_116	Sea Devils
AD_Achievement_Text_116_Avocado	Avocado
AD_Achievement_Text_117	Lake Fairies
AD_Achievement_Text_117_Avocado	Avocado
AD_Achievement_Text_118	Gargoyle Hunters
AD_Achievement_Text_118_Avocado	Avocado
AD_Achievement_Text_119	Pathfinders
AD_Achievement_Text_119_Avocado	Avocado
AD_Achievement_Text_120	Forest Guardians
AD_Achievement_Text_120_Avocado	Avocado
AD_Achievement_Text_121	Dryads
AD_Achievement_Text_121_Avocado	Avocado
AD_Achievement_Text_122	Ancient Ents
AD_Achievement_Text_122_Avocado	Avocado
AD_Achievement_Text_123	Gargoyle Shamans
AD_Achievement_Text_123_Avocado	Avocado
AD_Achievement_Text_124	Polar Bears
AD_Achievement_Text_124_Avocado	Avocado
AD_Achievement_Text_125	emerald dragons
AD_Achievement_Text_125_Avocado	Avocado
AD_Achievement_Text_126	T-Rex
AD_Achievement_Text_126_Avocado	Avocado
AD_Achievement_Text_127	Cyclops
AD_Achievement_Text_127_Avocado	Avocado
AD_Achievement_Text_128	Dukes of Dark
AD_Achievement_Text_128_Avocado	Avocado
AD_Achievement_Text_129	Grey-maned Griffins
AD_Achievement_Text_129_Avocado	Avocado
AD_Achievement_Text_130	Night Wolves
AD_Achievement_Text_130_Avocado	Night Wolves
AD_Achievement_Text_131	Evil Eyes
AD_Achievement_Text_131_Avocado	Evil Eyes
AD_Achievement_Text_2	[$]
AD_Achievement_Text_200	Now you are the commander of all the <font=tahoma_bold_10><color=fcffc3>Kingdom's</font>.troops. 
AD_Achievement_Text_200_Avocado	Avocado
AD_Achievement_Text_201	You have all <font=tahoma_bold_10><color=fcffc3>Chaos</font> units under your command.
AD_Achievement_Text_201_Avocado	Avocado
AD_Achievement_Text_202	You have gathered the entire <font=tahoma_bold_10><color=fcffc3>Ancient</font> race under your banners.
AD_Achievement_Text_202_Avocado	Avocado
