BattleLog_AbilityName	<color=FF00FF>
BattleLog_AbilityUsed_MM_0	[BattleLog_MyUnit]{caster} [BattleLog_NormColour]uses [BattleLog_AbilityName]{ability} [BattleLog_NormColour]on [BattleLog_OpponentUnit]{target}.
BattleLog_AbilityUsed_MM_1	[BattleLog_AbilityUsed_MM_0]
BattleLog_AbilityUsed_MM_2	[BattleLog_AbilityUsed_MM_0]
BattleLog_AbilityUsed_MM_3	[BattleLog_AbilityUsed_MM_0]
BattleLog_AbilityUsed_MO_0	[BattleLog_MyUnit]{caster} [BattleLog_NormColour]uses [BattleLog_AbilityName]{ability} [BattleLog_NormColour]on [BattleLog_OpponentUnit]{target}.
BattleLog_AbilityUsed_MO_1	[BattleLog_AbilityUsed_MO_0]
BattleLog_AbilityUsed_MO_2	[BattleLog_AbilityUsed_MO_0]
BattleLog_AbilityUsed_MO_3	[BattleLog_AbilityUsed_MO_0]
BattleLog_AbilityUsed_OM_0	[BattleLog_OpponentUnit]{caster} [BattleLog_NormColour]has applied [BattleLog_AbilityName]{ability} [BattleLog_NormColour] to target [BattleLog_MyUnit]{target}.
BattleLog_AbilityUsed_OM_1	[BattleLog_AbilityUsed_OM_0]
BattleLog_AbilityUsed_OM_2	[BattleLog_AbilityUsed_OM_0]
BattleLog_AbilityUsed_OM_3	[BattleLog_AbilityUsed_OM_0]
BattleLog_AbilityUsed_OO_0	[BattleLog_OpponentUnit]{caster} [BattleLog_NormColour]applies [BattleLog_AbilityName]{ability} [BattleLog_NormColour]to target [BattleLog_OpponentUnit]{target}.
BattleLog_AbilityUsed_OO_1	[BattleLog_AbilityUsed_OO_0]
BattleLog_AbilityUsed_OO_2	[BattleLog_AbilityUsed_OO_0]
BattleLog_AbilityUsed_OO_3	[BattleLog_AbilityUsed_OO_0]
BattleLog_Block	<color=808080>Block!
BattleLog_CriticalHit	<color=808080>Critical hit!
BattleLog_DamageDone	[BattleLog_NormColour]Damage [?],
BattleLog_DamageDot	[BattleLog_NormColour]long-term damage [?] for [?] turns,
BattleLog_Evasion	<color=808080>Dodge!
BattleLog_FriendSpellUsed_MM	[BattleLog_MyUnit]You [BattleLog_NormColour]have used your friend's [BattleLog_AbilityName]{ability} [BattleLog_NormColour]spell on [BattleLog_MyUnit]{target}.
BattleLog_FriendSpellUsed_MO	[BattleLog_MyUnit]You [BattleLog_NormColour]have used your friend's [BattleLog_AbilityName]{ability} [BattleLog_NormColour]spell on [BattleLog_OpponentUnit]{target}.
BattleLog_FriendSpellUsed_OM	[BattleLog_OpponentUnit]{caster} [BattleLog_NormColour]has used friend's [BattleLog_AbilityName]{ability} [BattleLog_NormColour]spell on [BattleLog_MyUnit]{target}
