army_template_1005047425_name	Feathered Squadron
army_template_10104517_name	Battle Maidens
army_template_1012106131_name	Lazarus Cultists
army_template_1022789258_name	Servants of a Dark Cult
army_template_1028497414_name	Living Dead
army_template_1036657349_name	Battle Lizards
army_template_1075308722_name	Servants of Death
army_template_1079235723_name	Fugitive Deserters
army_template_1080608494_name	Possessed Pack
army_template_1089196592_name	Feathered Defenders
army_template_1102135562_name	Eric's Band
army_template_1115071082_name	Hissing Mastermind's Squad
army_template_1115790883_name	Scarlet Sashes
army_template_1132344515_name	Lord of the Shadows
army_template_1132916859_name	Uninvited Guests
army_template_1134726239_name	Lords of the Drowned
army_template_1140542414_name	Inquisition Fanatics
army_template_1145827478_name	Bloody Rebels
army_template_1149987331_name	Beast Union
army_template_1155855294_name	Young Bears
army_template_1164951366_name	Steel Landing Party
army_template_1165444633_name	Northern Forest Poachers
army_template_117293734_name	Soldier Enlistees
army_template_1174317108_name	Flesh Conjurors
army_template_1175540149_name	Suspicious Vagabonds
army_template_1185081874_name	Ruin's Ghosts
army_template_1194165400_name	Marsh Brood
army_template_1201034799_name	Forest Dwellers
army_template_1202527107_name	Squad of Gray Wardens
army_template_1204387882_name	Dark Templars
army_template_1206179912_name	Living Giants
army_template_1216987581_name	Insidious Duo
army_template_1222840079_name	Devourers of Darkness
army_template_1236774236_name	Enchanted Beasts
army_template_1240422076_name	Sorcerer Spiders
army_template_124404418_name	Black Hood
army_template_1247298817_name	Magical Guardians
army_template_1249673539_name	Scarlet Sashes in Red Shirts
army_template_1251425900_name	Raging Invaders
army_template_1254593955_name	Masters of the Woods
army_template_1271854096_name	Divine Guard
army_template_127745020_name	Minions of Chaos
army_template_1284038388_name	Winged Warriors
army_template_1286499129_name	Starving Peasants
army_template_1287814049_name	Alchemical Monsters
army_template_1289298915_name	Scaled Warrior Squad
army_template_1293623714_name	Dark-Robed Mages
army_template_1293725283_name	Free Knight
army_template_1294750102_name	Ladies of the Forest
army_template_1301235199_name	Magical Monsters
army_template_1317017039_name	Mad Beasts
army_template_132819227_name	Spell's Victims
army_template_132851860_name	Lazarus’ Templars
army_template_1330893935_name	Spider Brood
army_template_1331758765_name	Scaled Warriors
army_template_1334456632_name	Band of Farmers
army_template_1335149636_name	Tomb Raiders
army_template_1341578785_name	Band of Pirates
army_template_1347553322_name	Green Army
army_template_1350598065_name	Armoured Mercenaries
army_template_1364159871_name	Necromancers
army_template_1364514023_name	Magical Trees
army_template_1377312247_name	Herbalists
army_template_1377742424_name	Forest Mages
army_template_1387359851_name	Band of Quickshots
army_template_1387940226_name	Scaly Thieves
army_template_1389779897_name	Scaled Сharmers
army_template_1393901394_name	Dangerous Beasts
army_template_1403591268_name	Vorden Hatkh’s Squad
army_template_1412083688_name	Forest Enchantresses
army_template_1418024207_name	Elusive Beauties
army_template_1434023722_name	Masters of the Caves
army_template_143688128_name	Enchanted Spiders
army_template_1449725030_name	Furry Spider Queen and her Brood
army_template_1450626732_name	Roaming Corpses
army_template_1454604927_name	Forest Union
army_template_1462273634_name	Ancient Unicorn
army_template_1464705396_name	Thieves of Gifts
army_template_1464898980_name	Possessed Pilgrims
army_template_1470851451_name	Swift Griffins
army_template_1475779668_name	Deserters
army_template_1482601722_name	Band of Pirates
army_template_1484251654_name	Crossbelly Colony
army_template_1487276573_name	Lazarus’ Army
army_template_1495456888_name	Spider Brood
army_template_1496630361_name	Feathered Predators
army_template_1504650284_name	Army of Darkness
army_template_1516605227_name	Academy Cadet
army_template_1520945421_name	Tomb Raiders
army_template_1524709513_name	Lazarus Cult Punishers
army_template_1525467611_name	Monsters from the Deep
army_template_1530821664_name	Squad of Infectors
army_template_1531924358_name	Free Labourers
army_template_1538985885_name	Forest Footpads
army_template_1551542447_name	Swamp Monsters
army_template_155243847_name	Gravedigger Gang
army_template_1556521707_name	Portal Keepers
army_template_1561525557_name	Sargateus' Squad
army_template_1572671871_name	Evil Eye Horde
army_template_1577582334_name	Northern Swamp Murderers
army_template_1586261937_name	Deadly Herd
army_template_1592493530_name	Human Woes Ghosts
army_template_159303938_name	Party Smashers
army_template_1606077395_name	Armoured Traitors
army_template_1607163217_name	Sinister Devotees
army_template_1607548342_name	Cromeus' Squad
army_template_1612002948_name	Forest Defenders
